index,timestamps,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,change_amount,turnover,stock_code
0,1998-04-08,000807,-0.59,-0.6,-0.48,-0.73,504666,415955584.0,-16.34,60.78,0.93,70.09,000807
1,1998-04-09,000807,-0.62,-0.45,-0.37,-0.66,230159,198523568.0,-48.33,25.0,0.15,31.97,000807
2,1998-04-10,000807,-0.45,-0.43,-0.36,-0.51,140186,123406760.0,-33.33,4.44,0.02,19.47,000807
3,1998-04-13,000807,-0.38,-0.39,-0.36,-0.48,113854,101393344.0,-27.91,9.3,0.04,15.81,000807
4,1998-04-14,000807,-0.4,-0.49,-0.39,-0.5,52976,46260448.0,-28.21,-25.64,-0.1,7.36,000807
5,1998-04-15,000807,-0.5,-0.51,-0.45,-0.53,51460,44343956.0,-16.33,-4.08,-0.02,7.15,000807
6,1998-04-16,000807,-0.52,-0.54,-0.43,-0.57,58432,49791660.0,-27.45,-5.88,-0.03,8.12,000807
7,1998-04-17,000807,-0.56,-0.62,-0.55,-0.63,32009,26427900.0,-14.81,-14.81,-0.08,4.45,000807
8,1998-04-20,000807,-0.64,-0.67,-0.6,-0.67,28268,22867502.0,-11.29,-8.06,-0.05,3.93,000807
9,1998-04-21,000807,-0.67,-0.61,-0.59,-0.67,20013,16304609.0,-11.94,8.96,0.06,2.78,000807
10,1998-04-22,000807,-0.61,-0.6,-0.59,-0.65,23247,18994546.0,-9.84,1.64,0.01,3.23,000807
11,1998-04-23,000807,-0.62,-0.64,-0.6,-0.65,25687,20894966.0,-8.33,-6.67,-0.04,3.57,000807
12,1998-04-24,000807,-0.66,-0.6,-0.51,-0.66,40677,34095836.0,-23.44,6.25,0.04,5.65,000807
13,1998-04-27,000807,-0.63,-0.64,-0.6,-0.65,19876,16175765.0,-8.33,-6.67,-0.04,2.76,000807
14,1998-04-28,000807,-0.64,-0.58,-0.56,-0.64,14437,11898671.0,-12.5,9.38,0.06,2.01,000807
15,1998-04-29,000807,-0.58,-0.62,-0.56,-0.65,14377,11764023.0,-15.52,-6.9,-0.04,2.0,000807
16,1998-04-30,000807,-0.62,-0.62,-0.6,-0.65,23009,18699668.0,-8.06,0.0,0.0,3.2,000807
17,1998-05-04,000807,-0.6,-0.59,-0.59,-0.64,21743,17830404.0,-8.06,4.84,0.03,3.02,000807
18,1998-05-05,000807,-0.59,-0.53,-0.52,-0.59,42392,35864280.0,-11.86,10.17,0.06,5.89,000807
19,1998-05-06,000807,-0.53,-0.6,-0.53,-0.62,16392,13632993.0,-16.98,-13.21,-0.07,2.28,000807
20,1998-05-07,000807,-0.6,-0.64,-0.6,-0.65,26464,21593722.0,-8.33,-6.67,-0.04,3.68,000807
21,1998-05-08,000807,-0.65,-0.62,-0.61,-0.66,18548,15063724.0,-7.81,3.13,0.02,2.58,000807
22,1998-05-11,000807,-0.64,-0.64,-0.62,-0.66,33038,26711916.0,-6.45,-3.23,-0.02,4.59,000807
23,1998-05-12,000807,-0.64,-0.63,-0.62,-0.66,16002,12968557.0,-6.25,1.56,0.01,2.22,000807
24,1998-05-13,000807,-0.64,-0.64,-0.62,-0.66,19173,15538622.0,-6.35,-1.59,-0.01,2.66,000807
25,1998-05-14,000807,-0.63,-0.59,-0.56,-0.65,25504,21023710.0,-14.06,7.81,0.05,3.54,000807
26,1998-05-15,000807,-0.59,-0.63,-0.57,-0.64,13664,11195578.0,-11.86,-6.78,-0.04,1.9,000807
27,1998-05-18,000807,-0.63,-0.64,-0.59,-0.65,11395,9248050.0,-9.52,-1.59,-0.01,1.58,000807
28,1998-05-19,000807,-0.65,-0.65,-0.64,-0.67,12323,9916880.0,-4.69,-1.56,-0.01,1.71,000807
29,1998-05-20,000807,-0.63,-0.7,-0.63,-0.7,16834,13361232.0,-10.77,-7.69,-0.05,2.34,000807
30,1998-05-21,000807,-0.7,-0.67,-0.64,-0.73,13733,10850953.0,-12.86,4.29,0.03,1.91,000807
31,1998-05-22,000807,-0.67,-0.65,-0.62,-0.7,20386,16413649.0,-11.94,2.99,0.02,2.83,000807
32,1998-05-25,000807,-0.64,-0.67,-0.64,-0.71,15740,12517219.0,-10.77,-3.08,-0.02,2.19,000807
33,1998-05-26,000807,-0.67,-0.69,-0.67,-0.7,14412,11411314.0,-4.48,-2.99,-0.02,2.0,000807
34,1998-05-27,000807,-0.67,-0.61,-0.57,-0.7,32946,26975468.0,-18.84,11.59,0.08,4.58,000807
35,1998-05-28,000807,-0.61,-0.65,-0.6,-0.66,9336,7561533.0,-9.84,-6.56,-0.04,1.3,000807
36,1998-05-29,000807,-0.65,-0.66,-0.64,-0.67,14123,11358972.0,-4.62,-1.54,-0.01,1.96,000807
37,1998-06-01,000807,-0.66,-0.66,-0.64,-0.7,16381,13114642.0,-9.09,0.0,0.0,2.28,000807
38,1998-06-02,000807,-0.65,-0.69,-0.64,-0.7,11877,9434103.0,-9.09,-4.55,-0.03,1.65,000807
39,1998-06-03,000807,-0.68,-0.66,-0.64,-0.7,12902,10303664.0,-8.7,4.35,0.03,1.79,000807
40,1998-06-04,000807,-0.64,-0.67,-0.64,-0.69,10805,8632314.0,-7.58,-1.52,-0.01,1.5,000807
41,1998-06-05,000807,-0.67,-0.69,-0.65,-0.7,12912,10285992.0,-7.46,-2.99,-0.02,1.79,000807
42,1998-06-08,000807,-0.69,-0.7,-0.65,-0.7,11047,8806341.0,-7.25,-1.45,-0.01,1.53,000807
43,1998-06-09,000807,-0.7,-0.79,-0.69,-0.81,14553,11218015.0,-17.14,-12.86,-0.09,2.02,000807
44,1998-06-10,000807,-0.78,-0.8,-0.75,-0.82,10907,8232107.0,-8.86,-1.27,-0.01,1.51,000807
45,1998-06-11,000807,-0.8,-0.78,-0.73,-0.81,7832,5966290.5,-10.0,2.5,0.02,1.09,000807
46,1998-06-12,000807,-0.73,-0.75,-0.71,-0.78,8844,6823642.0,-8.97,3.85,0.03,1.23,000807
47,1998-06-15,000807,-0.75,-0.81,-0.75,-0.82,9629,7247395.5,-9.33,-8.0,-0.06,1.34,000807
48,1998-06-16,000807,-0.82,-0.86,-0.81,-0.91,9034,6573742.5,-12.35,-6.17,-0.05,1.25,000807
49,1998-06-17,000807,-0.87,-0.88,-0.85,-0.89,5515,4019395.5,-4.65,-2.33,-0.02,0.77,000807
50,1998-06-18,000807,-0.87,-0.78,-0.76,-0.88,14800,11138152.0,-13.64,11.36,0.1,2.06,000807
51,1998-06-19,000807,-0.77,-0.79,-0.77,-0.82,6775,5113451.0,-6.41,-1.28,-0.01,0.94,000807
52,1998-06-22,000807,-0.79,-0.85,-0.79,-0.87,11403,8470976.0,-10.13,-7.59,-0.06,1.58,000807
53,1998-06-23,000807,-0.83,-0.84,-0.8,-0.86,6467,4805451.0,-7.06,1.18,0.01,0.9,000807
54,1998-06-24,000807,-0.82,-0.76,-0.74,-0.84,15964,12146838.0,-11.9,9.52,0.08,2.22,000807
